State,CD,Source,2012 GE - Total Cand Vote w/o Write-In,"2016 GE - Total ""Advance"" ballots Cast (mail and in-person)",2016 Advance Accepted or Returned by Party - Mail Ballots Sent or Requested,2016 Advance Accepted or Returned by Race - Mail Ballots Returned,2016 Advance Accepted or Returned by Gender - Early/In Person Cast,2016 Advance Accepted or Returned by Age - Total Advance,As of Date,Percent of 2012 Advance,Democrat,Percent Democrat,Repulican,Percent Republican,Other,Percent Other Party,Independent,Percent Independent,Party total,White,Percent White,Black,Percent Black,Hispanic,Percent Hispanic,Other Race,Percent Other Race,Unknown Race,Percent Unknown Race,Race Total,Female,Percent Female,Male,Percent Male,Unknown Gender,Percent Unknown Gender,Gender Total,18-29,Percent 18-29,30-44,Percent 30-44,45-60,Percent 45-60,60+,Percent 60+,Unknown Age,Percent Unknown Age,Age Total,Note
NJ,,,"3,638,499","291,043",,,,0,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,,,"783,758","463,993",,,,0,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,,,"7,071,734","388,559",,,,0,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,,http://dl.ncsbe.gov/ (change to ENRS directory for early vote data),"4,493,301","2,774,599","128,741","28,799",,"28,799",12-Oct-16,1.00%,"10,749",37.30%,"10,832",37.60%,72,0.30%,"7,146",24.80%,"28,799",24094,83.70%,2725,9.50%,338,1.20%,762,2.60%,880,3.10%,"28,799","15,933",55.30%,"12,488",43.40%,378,1.30%,"28,799","2,878",10.00%,"2,720",9.40%,"4,713",16.40%,"18,488",64.20%,,,"28,799",
ND,,https://vip.sos.nd.gov/abev.aspx?eid=292,"321,072","135,195","53,614","7,264",,"7,264",11-Oct-16,5.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sent ballots
OH,,http://www.sos.state.oh.us/sos/mediaCenter/2016/2016-10-11-a.aspx,"5,580,715","1,862,963","1,091,188","1,445",,"1,445",11-Oct-16,0.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,,,"1,334,872","176,163",,,,0,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,,,"1,775,995","1,775,995",,,,0,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,"5,742,040","266,797",,,,0,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI,,AP,"444,668","26,339","17,515",226,,226,8-Oct-16,0.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,,AP,"1,964,118","392,761","9,782","1,483",,"1,483",30-Sep-16,0.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,,,"363,815","91,145",,,,0,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN,,,"2,458,577","1,469,750",,,,0,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,,,"7,991,197","5,182,127",,,,0,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT,,,"1,017,401","424,330",,,,0,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,,,"297,247","76,263",,,,0,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,,http://results.elections.virginia.gov/vaelections/2016%20November%20General/Site/Statistics/Absentee.html,"3,847,243","447,907","190,871","22,983","34,462","57,445",11-Oct-16,12.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tweets from Alington and Falls Church
WA,,,"3,125,516","3,172,939",,,,0,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,,AP,"670,438","163,265","2,986",,,0,27-Sep-16,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI,,http://www.gab.wi.gov/elections-voting/statistics,"3,063,064","693,894","139,538","31,947","38,793","70,740",7-Oct-16,10.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ballots Sent
WY,,,"247,026","67,205",,,,0,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,"128,925,332","46,220,922","6,114,740","461,411","104,145","565,556",,1.20%,"112,724",46.10%,"84,887",34.70%,"3,884",1.60%,"43,076",17.60%,"244,571",52231,77.60%,10013,14.90%,616,0.90%,1484,2.20%,2932,4.40%,"67,276","39,060",58.10%,"27,525",40.90%,691,1.00%,"67,276","5,050",7.50%,"4,677",7.00%,"9,798",14.60%,"47,469",70.60%,282,0.40%,"67,276",
