ids, screen_name, followers, retweet, inreplyto, favorite, friends, listed, text, location
2444698272,MikeCoseo2,227,0,,0,241,16,Vice presidential debate more heated than Clinton/Trump.,"Cicero, NY"
21266998,rm1268,2157,227,,0,2234,287,"RT @HuffingtonPost: Kaine: ""We trust Hillary Clinton, my wife and I....the thought of Donald Trump as commander in chief scares us to death…","New York, NY"
2889990600,Happy2BMom1,2147,1989,,0,1582,169,"RT @WeNeedTrump: If you can watch this video and still vote for Hillary Clinton...there's something seriously wrong with you. 

Please make…","California, USA"
492633099,edevon13,25,56,,0,77,0,RT @EWErickson: Kaine is not doing Clinton any favors.,Wake Forest NC
525847693,go_rillv,218,427,,0,52,23,RT @mike_pence: Hillary Clinton’s economic plan would send our economy into a tailspin. #BigLeagueTruth https://t.co/WGvrZDfefZ,W T R V L x U W S x P C
30644500,marymac41,4673,1,,0,5065,341,"RT @leonpui_: Hire green jobs? They will never out do Coal,Oil, and gas!
Hillary Clinton stated clearly that she would Raise taxes on the m…",
19423796,MarathonerNYC,907,1079,,0,1168,36,RT @TeamTrump: There’s no doubt Obama-Clinton’s leadership has WEAKENED America’s stance on the world stage. #TrumpPence16 will put #Americ…,
731925359965392896,MomModeratemom4,1166,23,,0,1196,26,RT @PoliticusSarah: Someone might want to tell Pence that Obama has high approval ratings so attacking Clinton via Obama maybe not smart. #…,WILL BLOCK LISTS & PORN
987711552,Bigstick_17,312,0,,0,161,5,Someone forget to tell Kaine that Clinton said at a rally she was going to raise taxes on the middle class? Very uninformed man up there,
746413157049077760,Ne32043321Larry,72,17,,0,102,13,"RT @AIIAmericanGirI: HOLY CRAP! Look at the TINY TURNOUT to See Bill Clinton in Ohio - And Many Are Pro-Trump Protesters!
https://t.co/gCLe…","Hickory, NC"
2656270835,GreyParups,111,0,,0,299,11,'Hamilton' to Fundraise for Hillary Clinton With Additional Performance https://t.co/3wpwOWDt94 https://t.co/tUbNHvdiGv,
17677016,masonbo,339,62,,0,487,59,RT @kayleighmcenany: Is Hillary Clinton regretting her running mate choice yet? #VPDebate,
616043011,KittyCatGranny,4821,173,,0,4869,100,"RT @JaredWyand: Tim Kaine explains why the Clinton's are trustworthy lol

You be the judge America

#VPDebate https://t.co/7MZYeEcwfu","Miami, Fla."
539721796,NormanDeArmond,7538,1456,,0,7718,225,RT @PrisonPlanet: Obama DOJ drops charges against weapons dealer to hide revelations about HIllary's role in rise of ISIS in Libya. https:/…,"Palm Springs, Calif"
706760425300467712,MAKETHEPLEDGE16,98,99,,0,61,7,"RT @Braveheart_USA: Oh my!, @HillaryClinton GUCCIFER 2.0 HACKED CLINTON FOUNDATION

Not looking good! Read &amp; RT!

#Guccifer2
https://t.co/A…",
2282350454,DeannaSands1,3176,1405,,0,3040,76,RT @joshrogin: Pence is right. Clinton &amp; Obama tried to negotiate an Iraq troop extension but failed. Bush admin always anticipated such an…,"Colorado, USA"
57932738,Tesia58,43,427,,0,163,2,RT @mike_pence: Hillary Clinton’s economic plan would send our economy into a tailspin. #BigLeagueTruth https://t.co/WGvrZDfefZ,
2337969944,CorrineASilver,2541,1073,,0,2727,89,"RT @HillaryClinton: ""Hillary Clinton and Tim Kaine want to build on Obamacare."" —Mike Pence

Fact check: True. #VPDebate",Canada adjacent
271397149,rebekahjones,107,604,,0,203,10,RT @timkaine: “I am so proud to be running with...a strong history-making woman—Hillary Clinton.” —Tim #VPDebate,Texas
272709656,LyFJourney,537,0,,0,346,5,"Hope to see Clinton and Trump debate like Kaine and Pence, but we'll see. I'm actually hearing good views.",Georgia
3108967589,PatBerg19,421,1,,0,657,43,"RT @Joe_America1776: UPDATE: Guccifer 2.0 Leaks More Clinton Foundation Documents, PROMISES MORE TO COME… #TCOT #WakeUpAmerica #MAGA  https…",United States
2366210331,DaysToNovember,2100,49,,0,5000,38,RT @LifeNewsHQ: Reason not to trust Hillary? Clinton: An Unborn Child Just Hours Before Delivery Has No Constitutional Rights https://t.co/…,"Boston, MA"
20148396,aepanico,628,280,,0,440,20,"RT @CitizenCohn: Question is *grossly* misleading -- @BudgetHawks said Clinton plan nearly pays for itself, Trump piles on debt https://t.c…","Sacramento, California"
74236071,spartacus90210,7310,42,,0,7205,63,"RT @CaliforniaPanda: #VPDebate @HillaryClinton Claims She Is “Very Proud” Of Her Record, Global Crises Worsened “On Her Watch” https://t.co…","Varna, Bulgaria"
16165838,LadyRedCrest,923,159,,0,850,65,RT @JoshMalina: I love Pence trying to vilify Clinton and Kaine by calling them “public servants.” #VPDebate,"London, UK & Warner Robins, GA"
224403627,RCast73,42,1073,,0,275,3,"RT @HillaryClinton: ""Hillary Clinton and Tim Kaine want to build on Obamacare."" —Mike Pence

Fact check: True. #VPDebate",
759251,CNN,28499278,3,,5,1122,118981,A group of undecided women in Virginia watching the #VPDebate dial down as Pence attacks Clinton on foreign policy… https://t.co/byQPeiFmJ5,
2097571,cnni,5565709,1,,1,362,32136,A group of undecided women in Virginia watching the #VPDebate dial down as Pence attacks Clinton on foreign policy… https://t.co/GObxJjtfoB,Everywhere
589642766,DaneLasecki,198,1405,,0,197,7,RT @joshrogin: Pence is right. Clinton &amp; Obama tried to negotiate an Iraq troop extension but failed. Bush admin always anticipated such an…,
32284830,unique2be,17,339,,0,79,0,"RT @timkaine: The choice: Do we want a you're hired president in Hillary Clinton, or a you’re fired president in Donald Trump? #VPDebate",
21567649,Phillygirl1441,2994,25,,0,3226,213,RT @NicholsUprising: Career politician Mike Pence attacks Hillary Clinton and Tim Kaine as career politicians in silliest moment of #VPDeba…,Atlanta
2336894808,LSSkeggs,472,6032,,0,794,18,"RT @wikileaks: Hillary Clinton, eyes downcast, stammering: If I talked about droning Julian #Assange, ""it would have been a joke.""  https:/…",
126665405,mskimrose,8290,6806,,0,8182,193,"RT @realDonaldTrump: Wow, did you just hear Bill Clinton's statement on how bad ObamaCare is. Hillary not happy. As I have been saying, REP…",Texas
2940190552,joan_e_adams,488,39,,0,676,11,"RT @jimlibertarian: Hey Joe have you been drinking moonshine again,Hillary Clinton&amp;Tim Kaine would be a disaster for freedom loving America…",
2965513601,ty6939,911,1079,,0,1055,19,RT @TeamTrump: There’s no doubt Obama-Clinton’s leadership has WEAKENED America’s stance on the world stage. #TrumpPence16 will put #Americ…,USA
2215879679,IkeCrockett,17,1456,,0,56,3,RT @PrisonPlanet: Obama DOJ drops charges against weapons dealer to hide revelations about HIllary's role in rise of ISIS in Libya. https:/…,Rhodesia
27927872,Miranto,354,17,,0,477,7,RT @CassandraRules: My mom just sent me this. Apparently she's gone libertarian out of disdain for both clinton and trump. https://t.co/lcs…,
19990428,ladyinthewoods,8,6032,,0,89,1,"RT @wikileaks: Hillary Clinton, eyes downcast, stammering: If I talked about droning Julian #Assange, ""it would have been a joke.""  https:/…",Indiana
759163746564669440,Linda97157,101,427,,0,58,24,RT @mike_pence: Hillary Clinton’s economic plan would send our economy into a tailspin. #BigLeagueTruth https://t.co/WGvrZDfefZ,
228550101,bballkansas,738,0,,0,2520,42,Kaine use to be a likeable guy but a couple months with Clinton's and he is a horrid guy now.,"Shawnee, Kansas"
4410864754,Gammi0523,368,1079,,0,473,13,RT @TeamTrump: There’s no doubt Obama-Clinton’s leadership has WEAKENED America’s stance on the world stage. #TrumpPence16 will put #Americ…,
708485128800997376,TeslaIndy,3450,1405,,0,4952,107,RT @joshrogin: Pence is right. Clinton &amp; Obama tried to negotiate an Iraq troop extension but failed. Bush admin always anticipated such an…,"California, USA"
1646917459,ryantwittiger,624,85,,0,495,5,RT @RT_com: FBI agrees to destroy laptops of Clinton aides in immunity deal https://t.co/cB5drVUZTL  https://t.co/1iuZg0g5d0,SATURN
704873649162067968,cherylann729,983,109,,0,978,1,"RT @hale_razor: Kaine: I'm qualified to lead because I trust Hillary Clinton, which come to think of it is disqualifying right there. #VPDe…",United States
773597387143180292,JodiBro14896184,3,4423,,0,29,1,RT @KellyannePolls: Just delicious. Bill Clinton slams ObamaCare as 'craziest thing in the world' https://t.co/er6GKLOSM6 via @nypost,
41458112,JosephMonaco,2561,94,,0,1741,97,RT @MarkDice: Would this Clinton Crime Family Clown Tim Kaine let Mike Pence finish ONE SENTENCE without interrupting him?    #VPDebate,United States
733141836743630849,Malcolm_Yeadon,569,893,,0,788,44,RT @GopAaron: The Clintons stole 6 billions dollars that was meant to rebuild Haiti. When will the Clinton corruption stop?! #CrookedHillar…,Canada
41957116,carold501,28184,0,,0,20972,557,You're Fired Hillary Clinton &amp; Tim Kaine.  #VPDebate,"Commonsenseville, America"
1635327691,trudy1223,12,0,,0,9,0,What an asshole Tim Caine is.  He needs a labotomi and Clinton needs to be behind bars,
1074101239,MeredithMars,3755,577,,0,3753,22,RT @timkaine: .@Mike_Pence if you wanted a refresher on Hillary’s accomplishments as Secretary of State. #VPDebate https://t.co/WqbWQ4S36m,Texas to LA to Quebec..;-)
2701609776,NotQuiteMatthew,307,13,,0,419,5,"RT @hemantmehta: Tim Kaine's strategy: Talk about Hillary Clinton
Mike Pence's strategy: Talk about Hillary Clinton
#VPDebate",#UNC20
735524232948486145,kachninja,6433,1549,,0,6952,51,RT @KellyannePolls: Another flipflop for @TimKaine in 2002: Clinton should have resigned over Lewinsky scandal https://t.co/IpE6Y7k8KL,"Texas For Trump, USA"
3368690836,ProgressiveJill,12551,281,,0,5729,409,"RT @mtracey: Authenticity of new Guccifer release is uncertain, but the Clinton Foundation was reportedly hacked a few months ago https://t…",
54143577,vpetrash,13165,0,,0,5307,153,Donald Trump interrupted Hillary Clinton 51 TIMES!!! https://t.co/ElYbfqHpyy,"Pinecrest, FL"
59586322,willpdavis,1232,4,,0,1868,25,RT @YatesDCIA: Tim Kaine proves to the world there is someone more shrill and mendacious than Hillary Clinton.,Forsyth GA
782694859874328576,oppressiveslth,4,294,,0,38,0,"RT @latimes: ICYMI: That moment from the debate when Trump questioned Clinton's “stamina”

https://t.co/eg6KHhLly6 https://t.co/ZG3niqLbnn",Siberia
359509742,RealTonyWilson,3148,277,,0,775,12,"RT @guypbenson: Kaine: We trust Hillary Clinton.

America: We don't. 

#VPDebate","Richmond, IN"
860311272,JamesSandiford2,1127,29,,0,987,168,RT @Heminator: I hope the fact checkers heard Kaine say that Hillary Clinton eliminated Iran nuclear program.,Florida
44075260,emtgirl09,1119,20,,0,1855,114,RT @EvolveQuickly: #StoneTear Clinton’s Disgraceful Three-Headed Crime Has Compromised the FBI https://t.co/Nr5Rhgb6uJ,"Arizona, USA"
297224530,BreakingNewsG,2530,0,,0,2,47,"RT CNNPolitics: Tim Kaine: Hillary Clinton has a passion for ""serving others"" https://t.co/dPSzAvkUO1 #VPDebate https://t.co/7FPQIvh5u7 by:",Global
759021543946985472,ColleenFreebur1,5,62,,0,34,0,RT @kayleighmcenany: Is Hillary Clinton regretting her running mate choice yet? #VPDebate,"Pennsylvania, USA"
1452417348,Politcswatch,794,0,,0,431,44,"Kaine is being like Clinton here. He keeps hammering and hammering, but only thing he's hitting is himself. #VPDebate",
29222187,writerknowles,1826,0,,0,1007,133,Trump floats new explanation for tax problem: It's Clinton's fault https://t.co/A0bJ5Q8sa9 via @bpolitics,northern california
55883048,Primal57,59,4277,,0,131,3,"RT @GUCCIFER_2: #Guccifer2 hacked #ClintonFoundation
https://t.co/EDDoAj6FW8 https://t.co/kmSWJ9IKCA",
898934298,piggmann51,39,341,,0,434,0,RT @foxandfriends: Immunity deals for 2 top Hillary Clinton aides included a side arrangement obliging the FBI to destroy their laptops htt…,
723203744079437824,fearguns13_r,428,10,,0,398,24,RT @ArtoftheDealPAC: Clinton and Kaine don't understand taxes because they've never held a real job! #VPDebate,Everywhere USA
524628170,KathyVanKlavere,1051,125,,0,445,146,"RT @ABC: Pence: ""There's a reason why people question the trustworthiness of Hillary Clinton...they're paying attention."" https://t.co/bkVQ…","Fairfield Glade, TN"
2332518240,SprinklerDocMI,20,0,,0,126,0,Clinton can't raise the debt much more before the dollar is worthless.  #potus has raised it more than enough himself. #VPDebate @FoxNews,
705080486171955201,ChristopherUng9,138,6,,0,212,1,"RT @Ed_Klein: Hillary Clinton tapped Tim Kaine for one reason: Obama wanted her to, and she needed Obama's full support. #GuiltyAsSin #VPde…",
376159277,BobMcDonnell1,13,0,teecity71,0,57,0,"@teecity71 @NewDay @timkaine @CNN ""Clinton's passion"" will make her a great president?  Son of Sam had passion as well!",
